ticker,official_name,cik,name,title
MNST,Monster Beverage,865752,Hilton Schlosberg,vice-chairman and co-CEO
MCO,Moody's Corporation,1059556,Rob Fauber,CEO
MCO,Moody's Corporation,1059556,Raymond W. McDaniel Jr.,chairman
MS,Morgan Stanley,895421,James P. Gorman,chairman emeritus
MS,Morgan Stanley,895421,Ted Pick,chairman and CEO
MS,Morgan Stanley,895421,Andy Saperstein,co-president
MS,Morgan Stanley,895421,Dan Simkowitz,co-president
MS,Morgan Stanley,895421,Sharon Yeshaya,CFO
MOS,Mosaic Company (The),1285785,Gregory Ebel,chairman
MOS,Mosaic Company (The),1285785,Bruce Bodine,president & CEO
MSI,Motorola Solutions,68505,Greg Brown,chairman & CEO
MSCI,MSCI Inc.,1408198,Henry A. Fernandez,CEO
MSCI,MSCI Inc.,1408198,Baer Pettit,President
MSCI,MSCI Inc.,1408198,Andrew Wiechmann,CFO
MSCI,MSCI Inc.,1408198,Scott Crum,CHRO
NDAQ,"Nasdaq, Inc.",1120193,Michael Splinter,chairman
NDAQ,"Nasdaq, Inc.",1120193,Adena Friedman,CEO
NTAP,NetApp,1002047,George Kurian,CEO
NTAP,NetApp,1002047,César Cernuda,president
NTAP,NetApp,1002047,Mike Nevens,chairman
NFLX,Netflix,1065280,Reed Hastings,executive chairman
NFLX,Netflix,1065280,Ted Sarandos,co-CEO
NFLX,Netflix,1065280,Greg Peters,co-CEO
NEM,Newmont,1164727,Thomas R. Palmer,president and CEO
NEM,Newmont,1164727,Gregory H. Boyce,chairman
NWSA,News Corp (Class A),1564708,Rupert Murdoch,chairman emeritus
NWSA,News Corp (Class A),1564708,Lachlan Murdoch,chair
NWSA,News Corp (Class A),1564708,Robert James Thomson,CEO
NWSA,News Corp (Class A),1564708,Lavanya Chandrashekar,CFO
NWS,News Corp (Class B),1564708,Rupert Murdoch,chairman emeritus
NWS,News Corp (Class B),1564708,Lachlan Murdoch,chair
NWS,News Corp (Class B),1564708,Robert James Thomson,CEO
NWS,News Corp (Class B),1564708,Lavanya Chandrashekar,CFO
NEE,NextEra Energy,753308,John W. Ketchum,"Chairman , President and CEO of NEE"
NEE,NextEra Energy,753308,Armando Pimentel Jr.,President and CEO of FPL
NEE,NextEra Energy,753308,Rebecca J. Kujawa,President and CEO of NEER
NKE,"Nike, Inc.",320187,Philip Knight,chairman emeritus
NKE,"Nike, Inc.",320187,Mark Parker,executive chairman
NKE,"Nike, Inc.",320187,Elliott Hill,president and CEO
NKE,"Nike, Inc.",320187,John Hoke III,chief innovation officer
NI,NiSource,1111711,Lloyd Yates,CEO
NDSN,Nordson Corporation,72331,Sundaram Nagarajan,president & CEO
NDSN,Nordson Corporation,72331,"Victor L. Richey, Jr.",chairman
NSC,Norfolk Southern,702165,Mark R. George,President and CEO
NTRS,Northern Trust,73124,Michael G. O'Grady,chairman and CEO
NOC,Northrop Grumman,1133421,Kathy J. Warden,President and CEO
NCLH,Norwegian Cruise Line Holdings,1513761,Harry Sommer,CEO
NRG,NRG Energy,1013871,Larry Coben,president and CEO
NUE,Nucor,73309,Leon Topalian,"chairman , president , & CEO"
NUE,Nucor,73309,Steve Laxton,CFO
NVDA,Nvidia,1045810,Jensen Huang,president and CEO
NVDA,Nvidia,1045810,Bill Dally,chief scientist
NVR,"NVR, Inc.",906163,Paul Saville,chairman
NVR,"NVR, Inc.",906163,Eugene Bredow,CEO
NXPI,NXP Semiconductors,1413447,Peter Bonfield,chairman
NXPI,NXP Semiconductors,1413447,Kurt Sievers,president and CEO
ORLY,O’Reilly Automotive,898173,Brad Beckham,CEO
ODFL,Old Dominion,878927,David S. Congdon,executive chairman
ODFL,Old Dominion,878927,Kevin Freeman,president & CEO
ODFL,Old Dominion,878927,Gregory Plemmons,COO
ODFL,Old Dominion,878927,Adam Satterfield,CFO
OMC,Omnicom Group,29989,John D. Wren,CEO and Chairman
OMC,Omnicom Group,29989,Daryl Simm,COO and President
OMC,Omnicom Group,29989,Philip Angelastro,CFO
ON,ON Semiconductor,1097864,Alan Campbell,chairman
ON,ON Semiconductor,1097864,Hassane El-Khoury,president & CEO
ON,ON Semiconductor,1097864,Thad Trent,EVP & CFO
OKE,Oneok,1039684,Pierce Norton,CEO
OKE,Oneok,1039684,Julie Edwards,board chair
ORCL,Oracle Corporation,1341439,Larry Ellison,executive chairman & CTO
ORCL,Oracle Corporation,1341439,Jeff Henley,vice chairman
ORCL,Oracle Corporation,1341439,Safra Catz,CEO
OTIS,Otis Worldwide,1781335,Judy Marks,"chair, president and CEO"
PCAR,Paccar,75362,Mark C. Pigott,chairman
PCAR,Paccar,75362,Preston Feight,CEO
PKG,Packaging Corporation of America,75677,Mark W. Kowlzan,Chairman and CEO
PLTR,Palantir Technologies,1321655,Peter Thiel,chairman
PLTR,Palantir Technologies,1321655,Alex Karp,CEO
PLTR,Palantir Technologies,1321655,Stephen Cohen,president
PANW,Palo Alto Networks,1327567,Nikesh Arora,CEO
PARA,Paramount Global,813828,Shari Redstone,chairwoman
PARA,Paramount Global,813828,Chris McCarthy,co-CEO
PARA,Paramount Global,813828,Brian Robbins,co-CEO
PARA,Paramount Global,813828,George Cheeks,co-CEO
PH,Parker Hannifin,76334,Jennifer A. Parmentier,Chairman and CEO
PAYX,Paychex,723531,B. Thomas Golisano,chairman
PAYX,Paychex,723531,John Gibson,president & CEO
PAYX,Paychex,723531,Robert Schrader,CFO
PAYC,Paycom,1590955,Chad Richison,CEO
PAYC,Paycom,1590955,Randy Peck,COO
PAYC,Paycom,1590955,Bob Foster,CFO
PAYC,Paycom,1590955,Brad Smith,CIO
PYPL,PayPal,1633917,John Donahoe,chairman
PYPL,PayPal,1633917,Alex Chriss,president and CEO
PNR,Pentair,77360,John L. Stauch,President and CEO
PNR,Pentair,77360,Bob Fishman,CFO
PEP,PepsiCo,77476,Ramon Laguarta,chairman & CEO
PEP,PepsiCo,77476,Jamie Caulfield,EVP and CFO
PFE,Pfizer,78003,Albert Bourla,chairman and CEO
PCG,PG&E Corporation,1004980,PG&E Corporation: Robert Flexon,chairman
PCG,PG&E Corporation,1004980,Patti Poppe,CEO
PCG,PG&E Corporation,1004980,Carolyn Burke,EVP & CFO
PCG,PG&E Corporation,1004980,Pacific Gas & Electric Company: Sumeet Singh,EVP & COO
PCG,PG&E Corporation,1004980,Peter Kenny,"SVP, Electric"
PCG,PG&E Corporation,1004980,Joseph Forline,"SVP, Gas"
PM,Philip Morris International,1413329,André Calantzopoulos,chairman
PM,Philip Morris International,1413329,Jacek Olczak,CEO
PSX,Phillips 66,1534701,Greg Garland,chairman
PSX,Phillips 66,1534701,Mark Lashier,CEO
PNW,Pinnacle West Capital,764622,Jeffrey B. Guldner,Chairman & CEO
PNC,PNC Financial Services,713676,William S. Demchak,chairman and CEO
PNC,PNC Financial Services,713676,Michael P. Lyons,president
PPG,PPG Industries,79879,Tim Knavish,chairman & CEO
PFG,Principal Financial Group,1126328,Daniel Houston,CEO
PG,Procter & Gamble,80424,Jon R. Moeller,"chairman , president and CEO"
PGR,Progressive Corporation,80661,Lawton W. Fitt,Chairperson
PGR,Progressive Corporation,80661,Tricia Griffith,President and CEO
PLD,Prologis,1045609,Hamid Moghadam,Chairman and CEO
PLD,Prologis,1045609,Dan Letter,president
PLD,Prologis,1045609,Carter H. Andrus,COO
PLD,Prologis,1045609,Tim Arndt,CFO
