official_name
3M
A. O. Smith
AES Corporation
APA Corporation
AT&T
AbbVie
Abbott Laboratories
Accenture
Adobe Inc.
Advanced Micro Devices
Aflac
Agilent Technologies
Air Products
Airbnb
Akamai Technologies
Albemarle Corporation
Alexandria Real Estate Equities
Align Technology
Allegion
Allstate
Alphabet Inc.
Alphabet Inc.
Alphabet Inc. (Class A)
Alphabet Inc. (Class C)
Altria
Amazon
Amcor
Ameren
American Electric Power
American Express
American International Group
American Tower
Ameriprise Financial
Ametek
Amgen
Amphenol
Analog Devices
Ansys
Aon plc
Apollo Global Management
Apple Inc.
Applied Materials
Aptiv
Arch Capital Group
Archer Daniels Midland
Arista Networks
Arthur J. Gallagher & Co.
Assurant
Atmos Energy
AutoZone
Autodesk
Automatic Data Processing
AvalonBay Communities
Avery Dennison
Axon Enterprise
BNY Mellon
BXP Inc.
"BXP, Inc."
Baker Hughes
Ball Corporation
Bank of America
Baxter International
Becton Dickinson
Berkshire Hathaway
Best Buy
Bio-Techne
Biogen
BlackRock
Blackstone Inc.
Boeing
Booking Holdings
Boston Scientific
Bristol Myers Squibb
Broadcom
Broadridge Financial Solutions
Brown & Brown
Brown–Forman
Builders FirstSource
Bunge Global
C.H. Robinson
CBRE Group
CDW Corporation
CF Industries
CME Group
CMS Energy
CSX Corporation
CVS Health
Cadence Design Systems
Caesars Entertainment
Camden Property Trust
Campbell's Company
Campbell's Company (The)
Capital One
CarMax
Cardinal Health
Carnival
Carrier Global
Caterpillar Inc.
Cboe Global Markets
Cencora
Centene Corporation
CenterPoint Energy
Charles River Laboratories
Charles Schwab Corporation
Charter Communications
Chevron Corporation
Chipotle Mexican Grill
Chubb Limited
Church & Dwight
Cigna
Cincinnati Financial
Cintas
Cisco
Citigroup
Citizens Financial Group
Clorox
CoStar Group
Coca-Cola Company
Coca-Cola Company (The)
Cognizant
Coinbase
Colgate-Palmolive
Comcast
Conagra Brands
ConocoPhillips
Consolidated Edison
Constellation Brands
Constellation Energy
Cooper Companies
Cooper Companies (The)
Copart
Corning Inc.
Corpay
Corteva
Costco
Coterra
CrowdStrike
Cummins
D. R. Horton
DTE Energy
DaVita
Danaher Corporation
Darden Restaurants
Dayforce
Deckers Brands
Deere & Company
Dell Technologies
Delta Air Lines
Devon Energy
Dexcom
Diamondback Energy
Digital Realty
Dollar General
Dollar Tree
Dominion Energy
Domino's
DoorDash
Dover Corporation
Dow Inc.
DuPont
Duke Energy
EOG Resources
EPAM Systems
EQT Corporation
Eastman Chemical Company
Eaton Corporation
Ecolab
Edison International
Edwards Lifesciences
Electronic Arts
Elevance Health
Emerson Electric
Enphase Energy
Entergy
Equifax
Equinix
Equity Residential
Erie Indemnity
Estée Lauder Companies
Estée Lauder Companies (The)
Everest Group
Evergy
Eversource Energy
Exelon
Expand Energy
Expedia Group
Expeditors International
Extra Space Storage
ExxonMobil
F5 Inc.
"F5, Inc."
FactSet
Fair Isaac
Fastenal
FedEx
Federal Realty Investment Trust
Fidelity National Information Services
Fifth Third Bancorp
First Solar
FirstEnergy
Fiserv
Ford Motor Company
Fortinet
Fortive
Fox Corporation
Fox Corporation
Fox Corporation (Class A)
Fox Corporation (Class B)
Franklin Resources
Freeport-McMoRan
GE Aerospace
GE HealthCare
GE Vernova
Garmin
Gartner
Gen Digital
Generac
General Dynamics
General Mills
General Motors
Genuine Parts Company
Gilead Sciences
Global Payments
Globe Life
Goldman Sachs
HCA Healthcare
HP Inc.
Halliburton
Hartford
Hartford (The)
Hasbro
Healthpeak Properties
Henry Schein
Hershey Company
Hershey Company (The)
Hess Corporation
Hewlett Packard Enterprise
Hilton Worldwide
Hologic
Home Depot
Home Depot (The)
Honeywell
Hormel Foods
Host Hotels & Resorts
Howmet Aerospace
Hubbell Incorporated
Humana
Huntington Bancshares
Huntington Ingalls Industries
IBM
IDEX Corporation
IQVIA
Idexx Laboratories
Illinois Tool Works
Incyte
Ingersoll Rand
Intel
Intercontinental Exchange
International Flavors & Fragrances
International Paper
Interpublic Group of Companies
Interpublic Group of Companies (The)
Intuit
Intuitive Surgical
Invesco
Invitation Homes
J.B. Hunt
J.M. Smucker Company
J.M. Smucker Company (The)
JPMorgan Chase
Jabil
Jacobs Solutions
Johnson & Johnson
Johnson Controls
Juniper Networks
KKR & Co.
KLA Corporation
Kellanova
Kenvue
Keurig Dr Pepper
KeyCorp
Keysight Technologies
Kimberly-Clark
Kimco Realty
Kinder Morgan
Kraft Heinz
Kroger
L3Harris
LKQ Corporation
Labcorp
Lam Research
Las Vegas Sands
Leidos
Lennar
Lennox International
Lilly (Eli)
Linde plc
Live Nation Entertainment
Lockheed Martin
Loews Corporation
Lowe's
Lululemon Athletica
LyondellBasell
M&T Bank
MGM Resorts
MSCI Inc.
Marathon Petroleum
MarketAxess
Marriott International
Marsh McLennan
Martin Marietta Materials
Masco
Mastercard
Match Group
McCormick & Company
McDonald's
McKesson Corporation
Medtronic
Merck & Co.
MetLife
Meta Platforms
Mettler Toledo
Microchip Technology
Micron Technology
Microsoft
Mid-America Apartment Communities
Moderna
Mohawk Industries
Molina Healthcare
Molson Coors Beverage Company
Mondelez International
Monolithic Power Systems
Monster Beverage
Moody's Corporation
Morgan Stanley
Mosaic Company
Mosaic Company (The)
Motorola Solutions
NRG Energy
NVR Inc.
"NVR, Inc."
NXP Semiconductors
Nasdaq Inc.
"Nasdaq, Inc."
NetApp
Netflix
Newmont
News Corp
News Corp
News Corp (Class A)
News Corp (Class B)
NextEra Energy
NiSource
Nike Inc.
"Nike, Inc."
Nordson Corporation
Norfolk Southern
Northern Trust
Northrop Grumman
Norwegian Cruise Line Holdings
Nucor
Nvidia
ON Semiconductor
Old Dominion
Omnicom Group
Oneok
Oracle Corporation
Otis Worldwide
O’Reilly Automotive
PG&E Corporation
PNC Financial Services
PPG Industries
PTC Inc.
Paccar
Packaging Corporation of America
Palantir Technologies
Palo Alto Networks
Paramount Global
Parker Hannifin
PayPal
Paychex
Paycom
Pentair
PepsiCo
Pfizer
Philip Morris International
Phillips 66
Pinnacle West Capital
Principal Financial Group
Procter & Gamble
Progressive Corporation
Prologis
Prudential Financial
Public Service Enterprise Group
Public Storage
Qualcomm
Quanta Services
Quest Diagnostics
RTX Corporation
Ralph Lauren Corporation
Raymond James Financial
Regency Centers
Regeneron Pharmaceuticals
Regions Financial Corporation
Republic Services
ResMed
Revvity
Rockwell Automation
Rollins Inc.
"Rollins, Inc."
Roper Technologies
Ross Stores
Royal Caribbean Group
S&P Global
Salesforce
Schlumberger
Seagate Technology
Sempra
ServiceNow
Sherwin-Williams
Simon Property Group
Skyworks Solutions
Smurfit Westrock
Snap-on
Solventum
Southern Company
Southwest Airlines
Stanley Black & Decker
Starbucks
State Street Corporation
Steel Dynamics
Steris
Stryker Corporation
Supermicro
Synchrony Financial
Synopsys
Sysco
T-Mobile US
T. Rowe Price
TE Connectivity
TJX Companies
TKO Group Holdings
Take-Two Interactive
Tapestry Inc.
"Tapestry, Inc."
Targa Resources
Target Corporation
Teledyne Technologies
Tesla Inc.
"Tesla, Inc."
Texas Instruments
Texas Pacific Land Corporation
Textron
Thermo Fisher Scientific
Tractor Supply
Trane Technologies
TransDigm Group
Travelers Companies
Travelers Companies (The)
Trimble Inc.
Truist Financial
Tyson Foods
U.S. Bancorp
Uber
Ulta Beauty
Union Pacific Corporation
United Airlines Holdings
United Parcel Service
United Rentals
UnitedHealth Group
Universal Health Services
Valero Energy
Veralto
Verisign
Verisk Analytics
Verizon
Vertex Pharmaceuticals
Viatris
Vici Properties
Visa Inc.
Vistra Corp .
W. R. Berkley Corporation
W. W. Grainger
Wabtec
Walgreens Boots Alliance
Walmart
Walt Disney Company
Walt Disney Company (The)
Warner Bros. Discovery
Waste Management
Waters Corporation
Wells Fargo
West Pharmaceutical Services
Western Digital
Weyerhaeuser
Williams Companies
Williams-Sonoma Inc.
"Williams-Sonoma, Inc."
Willis Towers Watson
Workday Inc.
"Workday, Inc."
Wynn Resorts
Xcel Energy
Xylem Inc.
Yum! Brands
Zebra Technologies
Zimmer Biomet
Zoetis
eBay Inc.
